Freq.	V(n028)/V(n012)
4.09732109813547e+01	(-3.06354309012062e-03dB,-4.65952675765473e-01°)
4.12097519097336e+01	(-3.06683736989323e-03dB,-4.68642531462029e-01°)
4.14476584037945e+01	(-3.07016979341495e-03dB,-4.71347913801547e-01°)
4.16869383470341e+01	(-3.07354080206276e-03dB,-4.74068912384510e-01°)
4.19275996684611e+01	(-3.07695084205070e-03dB,-4.76805617327948e-01°)
4.21696503428588e+01	(-3.08040036571679e-03dB,-4.79558119268469e-01°)
4.24130983910494e+01	(-3.08388983046966e-03dB,-4.82326509365129e-01°)
4.26579518801599e+01	(-3.08741969847986e-03dB,-4.85110879302804e-01°)
4.29042189238891e+01	(-3.09099043745067e-03dB,-4.87911321294977e-01°)
4.31519076827771e+01	(-3.09460252020912e-03dB,-4.90727928086935e-01°)
4.34010263644750e+01	(-3.09825642629580e-03dB,-4.93560792958259e-01°)
4.36515832240172e+01	(-3.10195263909111e-03dB,-4.96410009726792e-01°)
4.39035865640951e+01	(-3.10569164936246e-03dB,-4.99275672750852e-01°)
4.41570447353319e+01	(-3.10947395194481e-03dB,-5.02157876933181e-01°)
4.44119661365595e+01	(-3.11330004782053e-03dB,-5.05056717723527e-01°)
4.46683592150970e+01	(-3.11717044454686e-03dB,-5.07972291121706e-01°)
4.49262324670300e+01	(-3.12108565464487e-03dB,-5.10904693681287e-01°)
4.51855944374929e+01	(-3.12504619720765e-03dB,-5.13854022512215e-01°)
4.54464537209515e+01	(-3.12905259709099e-03dB,-5.16820375284296e-01°)
4.57088189614882e+01	(-3.13310538504074e-03dB,-5.19803850230578e-01°)
4.59726988530879e+01	(-3.13720509778449e-03dB,-5.22804546150291e-01°)
4.62381021399267e+01	(-3.14135227970053e-03dB,-5.25822562411900e-01°)
4.65050376166613e+01	(-3.14554747956210e-03dB,-5.28857998957119e-01°)
4.67735141287205e+01	(-3.14979125309093e-03dB,-5.31910956303655e-01°)
4.70435405725983e+01	(-3.15408416316373e-03dB,-5.34981535548384e-01°)
4.73151258961488e+01	(-3.15842677849931e-03dB,-5.38069838371172e-01°)
4.75882790988824e+01	(-3.16281967421428e-03dB,-5.41175967037945e-01°)
4.78630092322646e+01	(-3.16726343262284e-03dB,-5.44300024403978e-01°)
4.81393254000152e+01	(-3.17175864324064e-03dB,-5.47442113917334e-01°)
4.84172367584107e+01	(-3.17630590105041e-03dB,-5.50602339622547e-01°)
4.86967525165871e+01	(-3.18090580829045e-03dB,-5.53780806163829e-01°)
4.89778819368454e+01	(-3.18555897534805e-03dB,-5.56977618788157e-01°)
4.92606343349585e+01	(-3.19026601838253e-03dB,-5.60192883349448e-01°)
