Freq.	V(n028)/V(n012)
3.29230453333410e+01	(-2.96265516113110e-03dB,-3.74408068659800e-01°)
3.31131121482595e+01	(-2.96478127771620e-03dB,-3.76569488581810e-01°)
3.33042762308750e+01	(-2.96693201311224e-03dB,-3.78743385446650e-01°)
3.34965439157832e+01	(-2.96910765142228e-03dB,-3.80929831266205e-01°)
3.36899215741495e+01	(-2.97130848136579e-03dB,-3.83128898467234e-01°)
3.38844156139207e+01	(-2.97353479462904e-03dB,-3.85340659894589e-01°)
3.40800324800369e+01	(-2.97578688583332e-03dB,-3.87565188813201e-01°)
3.42767786546454e+01	(-2.97806505427135e-03dB,-3.89802558910431e-01°)
3.44746606573154e+01	(-2.98036960124093e-03dB,-3.92052844299053e-01°)
3.46736850452536e+01	(-2.98270083258783e-03dB,-3.94316119519107e-01°)
3.48738584135223e+01	(-2.98505905704658e-03dB,-3.96592459540701e-01°)
3.50751873952572e+01	(-2.98744458713955e-03dB,-3.98881939766342e-01°)
3.52776786618878e+01	(-2.98985773873900e-03dB,-4.01184636033601e-01°)
3.54813389233580e+01	(-2.99229883169318e-03dB,-4.03500624617321e-01°)
3.56861749283486e+01	(-2.99476819019095e-03dB,-4.05829982232126e-01°)
3.58921934645010e+01	(-2.99726614087110e-03dB,-4.08172786035554e-01°)
3.60994013586421e+01	(-2.99979301550894e-03dB,-4.10529113629745e-01°)
3.63078054770106e+01	(-3.00234914826988e-03dB,-4.12899043064872e-01°)
3.65174127254842e+01	(-3.00493487756167e-03dB,-4.15282652841153e-01°)
3.67282300498089e+01	(-3.00755054684276e-03dB,-4.17680021911248e-01°)
3.69402644358288e+01	(-3.01019650285407e-03dB,-4.20091229683416e-01°)
3.71535229097177e+01	(-3.01287309605510e-03dB,-4.22516356023952e-01°)
3.73680125382121e+01	(-3.01558068047148e-03dB,-4.24955481259991e-01°)
