Freq.	V(n028)/V(n012)
2.78612116862980e+01	(-2.91059119242116e-03dB,-3.16845035533372e-01°)
2.80220562166677e+01	(-2.91211445913547e-03dB,-3.18674164639418e-01°)
2.81838293126448e+01	(-2.91365536411608e-03dB,-3.20513852774155e-01°)
2.83465363348970e+01	(-2.91521411137874e-03dB,-3.22364160884339e-01°)
2.85101826750394e+01	(-2.91679090753628e-03dB,-3.24225150268203e-01°)
2.86747737558135e+01	(-2.91838596106070e-03dB,-3.26096882577926e-01°)
2.88403150312664e+01	(-2.91999948416131e-03dB,-3.27979419820913e-01°)
2.90068119869318e+01	(-2.92163169058826e-03dB,-3.29872824362601e-01°)
2.91742701400120e+01	(-2.92328279650264e-03dB,-3.31777158928402e-01°)
2.93426950395600e+01	(-2.92495302021023e-03dB,-3.33692486605584e-01°)
2.95120922666642e+01	(-2.92664258376673e-03dB,-3.35618870845203e-01°)
2.96824674346327e+01	(-2.92835171076386e-03dB,-3.37556375464556e-01°)
2.98538261891799e+01	(-2.93008062808215e-03dB,-3.39505064648967e-01°)
3.00261742086130e+01	(-2.93182956448159e-03dB,-3.41465002954314e-01°)
3.01995172040205e+01	(-2.93359875186919e-03dB,-3.43436255308857e-01°)
3.03738609194614e+01	(-2.93538842479255e-03dB,-3.45418887015343e-01°)
3.05492111321555e+01	(-2.93719882033469e-03dB,-3.47412963753386e-01°)
3.07255736526748e+01	(-2.93903017841220e-03dB,-3.49418551581475e-01°)
3.09029543251362e+01	(-2.94088274173951e-03dB,-3.51435716939218e-01°)
3.10813590273951e+01	(-2.94275675651958e-03dB,-3.53464526649313e-01°)
3.12607936712399e+01	(-2.94465246994936e-03dB,-3.55505047920587e-01°)
3.14412642025883e+01	(-2.94657013412950e-03dB,-3.57557348348861e-01°)
3.16227766016841e+01	(-2.94851000297653e-03dB,-3.59621495920409e-01°)
3.18053368832956e+01	(-2.95047233336114e-03dB,-3.61697559013605e-01°)
3.19889510969143e+01	(-2.95245738571401e-03dB,-3.63785606401178e-01°)
3.21736253269564e+01	(-2.95446542269748e-03dB,-3.65885707252799e-01°)
3.23593656929632e+01	(-2.95649671103841e-03dB,-3.67997931136883e-01°)
3.25461783498050e+01	(-2.95855151910015e-03dB,-3.70122348023627e-01°)
3.27340694878842e+01	(-2.96063012035917e-03dB,-3.72259028286242e-01°)
3.29230453333410e+01	(-2.96273278941333e-03dB,-3.74408042704563e-01°)
3.31131121482595e+01	(-2.96485980515078e-03dB,-3.76569462466286e-01°)
3.33042762308750e+01	(-2.96701144955573e-03dB,-3.78743359169993e-01°)
3.34965439157832e+01	(-2.96918800742293e-03dB,-3.80929804827271e-01°)
3.36899215741495e+01	(-2.97138976816545e-03dB,-3.83128871864725e-01°)
3.38844156139207e+01	(-2.97361702266408e-03dB,-3.85340633127418e-01°)
3.40800324800369e+01	(-2.97587006631477e-03dB,-3.87565161880192e-01°)
3.42767786546454e+01	(-2.97814919787485e-03dB,-3.89802531810511e-01°)
3.44746606573154e+01	(-2.98045471898172e-03dB,-3.92052817031113e-01°)
3.46736850452536e+01	(-2.98278693587186e-03dB,-3.94316092081922e-01°)
3.48738584135223e+01	(-2.98514615695182e-03dB,-3.96592431933208e-01°)
3.50751873952572e+01	(-2.98753269561123e-03dB,-3.98881911987188e-01°)
3.52776786618878e+01	(-2.98994686784392e-03dB,-4.01184608081470e-01°)
3.54813389233580e+01	(-2.99238899284604e-03dB,-4.03500596491140e-01°)
3.56861749283486e+01	(-2.99485939542581e-03dB,-4.05829953930700e-01°)
3.58921934645010e+01	(-2.99735840241785e-03dB,-4.08172757557527e-01°)
3.60994013586421e+01	(-2.99988634501677e-03dB,-4.10529084974062e-01°)
3.63078054770106e+01	(-3.00244355844433e-03dB,-4.12899014230160e-01°)
3.65174127254842e+01	(-3.00503038103207e-03dB,-4.15282623826139e-01°)
3.67282300498089e+01	(-3.00764715649218e-03dB,-4.17679992714556e-01°)
3.69402644358288e+01	(-3.01029423079968e-03dB,-4.20091200303962e-01°)
3.71535229097177e+01	(-3.01297195529963e-03dB,-4.22516326460427e-01°)
3.73680125382121e+01	(-3.01568068441129e-03dB,-4.24955451510978e-01°)
3.75837404288449e+01	(-3.01842077815550e-03dB,-4.27408656245437e-01°)
3.78007137301816e+01	(-3.02119259854303e-03dB,-4.29876021920279e-01°)
3.80189396320566e+01	(-3.02399651305992e-03dB,-4.32357630260179e-01°)
3.82384253658118e+01	(-3.02683289353499e-03dB,-4.34853563461105e-01°)
3.84591782045359e+01	(-3.02970211619388e-03dB,-4.37363904193131e-01°)
3.86812054633057e+01	(-3.03260456040598e-03dB,-4.39888735603376e-01°)
3.89045144994286e+01	(-3.03554061197201e-03dB,-4.42428141317776e-01°)
3.91291127126858e+01	(-3.03851065909851e-03dB,-4.44982205445392e-01°)
3.93550075455783e+01	(-3.04151509568351e-03dB,-4.47551012579756e-01°)
3.95822064835728e+01	(-3.04455431987919e-03dB,-4.50134647802455e-01°)
3.98107170553503e+01	(-3.04762873476430e-03dB,-4.52733196685555e-01°)
4.00405468330552e+01	(-3.05073874686438e-03dB,-4.55346745294970e-01°)
4.02717034325465e+01	(-3.05388476929173e-03dB,-4.57975380192432e-01°)
4.05041945136499e+01	(-3.05706721821387e-03dB,-4.60619188439250e-01°)
4.07380277804118e+01	(-3.06028651623369e-03dB,-4.63278257598326e-01°)
4.09732109813547e+01	(-3.06354308933924e-03dB,-4.65952675737971e-01°)
4.12097519097336e+01	(-3.06683736952665e-03dB,-4.68642531433930e-01°)
4.14476584037945e+01	(-3.07016979262971e-03dB,-4.71347913773099e-01°)
4.16869383470341e+01	(-3.07354080122639e-03dB,-4.74068912355551e-01°)
4.19275996684611e+01	(-3.07695084169859e-03dB,-4.76805617298389e-01°)
4.21696503428588e+01	(-3.08040036570329e-03dB,-4.79558119238276e-01°)
4.24130983910494e+01	(-3.08388983044362e-03dB,-4.82326509334404e-01°)
4.26579518801599e+01	(-3.08741969798306e-03dB,-4.85110879271667e-01°)
4.29042189238891e+01	(-3.09099043672235e-03dB,-4.87911321263429e-01°)
4.31519076827771e+01	(-3.09460251990236e-03dB,-4.90727928054683e-01°)
